序号,电影名,年份,类型,导演,评分
231,暖暖内含光,2004,剧情/爱情/奇幻,米歇尔·冈瑞,豆瓣8.4/IMDB8.4
232,罪恶之城,2005,动作/惊悚/犯罪,弗兰克·米勒,豆瓣8.4/IMDB8.1
233,傲慢与偏见,2005,剧情/爱情,乔·赖特,豆瓣8.4/IMDB7.8
234,香水,2006,剧情/犯罪/奇幻,汤姆·提克威,豆瓣8.4/IMDB7.5
235,无耻混蛋,2009,剧情/犯罪,昆汀·塔伦蒂诺,豆瓣8.3/IMDB8.3
236,速度与激情5,2011,剧情/动作/惊悚,林诣彬,豆瓣8.4/IMDB7.4
237,唐伯虎点秋香,1993,喜剧/爱情/古装,李力持,豆瓣8.3/IMDB7.6
238,青蛇,1993,剧情/奇幻/古装,徐克,豆瓣8.3/IMDB7.2
239,夜访吸血鬼,1994,剧情/惊悚/奇幻,尼尔·乔丹,豆瓣8.3/IMDB7.6
240,喜剧之王,1999,剧情/喜剧/爱情,周星驰,豆瓣8.2/IMDB7.3
241,曾经,2006,剧情/爱情/音乐,约翰·卡尼,豆瓣8.4/IMDB7.9
243,恐怖游轮,2009,剧情/悬疑/惊悚,克里斯托弗·史密斯,豆瓣8.2/IMDB6.9
244,初恋这件小事,2010,喜剧/爱情,普特鹏·普罗萨卡·那·萨克那卡林,豆瓣8.3/IMDB7.7
245,国王的演讲,2010,剧情/传记/历史,汤姆·霍珀,豆瓣8.3/IMDB8.1
246,源代码,2011,剧情/动作/科幻,邓肯·琼斯,豆瓣8.3/IMDB7.5
247,蓝色大门,2002,剧情/爱情/同性,易智言,豆瓣8.3/IMDB7.5
248,假如爱有天意,2003,剧情/爱情,郭在容,豆瓣8.2/IMDB7.9
249,两小无猜,2003,剧情/喜剧/爱情,杨·塞谬尔,豆瓣8.2/IMDB7.7
